,year,iso_a3,country_name,Year,local_price,dollar_ex,dollar_price,big_mac_index,relative_PPP
190,2009,IDN,Indonesia,2009,20900.0,10200.0,2.049019607843137,-42.604492777503154,99.5140522875817
191,2009,JPN,Japan,2009,320.0,92.565,3.4570301949981097,-3.164420308176197,75.36737376309569
192,2009,KOR,South Korea,2009,3400.0,1314.5,2.586534804108026,-27.548044702856412,97.06895614845405
193,2009,MEX,Mexico,2009,33.0,13.8104,2.389503562532584,-33.06712709992762,23.015410855238656
194,2009,NZL,New Zealand,2009,4.9,1.59235,3.0772129242942823,-13.803559543577526,1.7376425888519718
195,2009,POL,Poland,2009,7.6,3.15525,2.4086839394659694,-32.52986163960869,4.824643178934972
196,2009,RUS,Russia,2009,67.0,32.7959,2.042938294116033,-42.77483769983101,38.89644413525987
197,2009,SWE,Sweden,2009,39.0,7.90915,4.93099764197164,38.12318324850532,24.51007363886932
198,2009,USA,United States,2009,3.57,1.0,3.57,0.0,0.0
199,2009,ZAF,South Africa,2009,17.95,8.2805,2.1677434937503772,-39.27889373248242,13.38046333721884
200,2010,AUS,Australia,2010,4.35,1.113636289,3.9061227107695298,6.821951985803998,0.42537354023044543
201,2010,BRA,Brazil,2010,8.455,1.749125,4.833845494175659,32.19267532532306,3.338854368931208
202,2010,CAN,Canada,2010,4.145,1.0395750000000001,3.987206310271023,9.039370386128232,0.15151345693886067
203,2010,CHE,Switzerland,2010,6.5,1.041,6.243996157540827,70.75650386031234,0.24037919479734582
204,2010,CHL,Chile,2010,1675.0,513.375,3.2627221816411005,-10.773322284690657,94.18238184892162
205,2010,CHN,China,2010,12.85,6.80205,1.8891363633022396,-48.33720063659952,9.71277238519961
206,2010,CZE,Czech Republic,2010,67.64,18.978825,3.5639719529528304,-2.534951145434672,38.222398023769486
207,2010,DNK,Denmark,2010,29.72,5.4878,5.415649258354896,48.10344371745856,18.736008897352068
208,2010,GBR,Britain,2010,2.29,0.6405641255,3.5749738532617843,-2.234078757755853,-1.2562067193878037
209,2010,HUN,Hungary,2010,730.0,204.309975,3.573002248177065,-2.2879968548791707,87.52132503034011
210,2010,IDN,Indonesia,2010,21840.0,9191.5,2.3761083609856932,-35.01982604118523,99.53338145687792
211,2010,JPN,Japan,2010,320.0,89.36000000000001,3.581020590868397,-2.068716744805399,75.33785224026943
212,2010,KOR,South Korea,2010,3400.0,1172.475,2.899848610844581,-20.696938624154438,97.06000432540445
213,2010,MEX,Mexico,2010,32.0,12.797875000000001,2.50041510797691,-31.620370790586804,22.348170372744764
214,2010,NZL,New Zealand,2010,4.95,1.3748038299999998,3.600513682013819,-1.535633121843405,1.2858373682574378
215,2010,POL,Poland,2010,8.2,3.016275,2.71858500965595,-25.65401067147147,5.0660027637190845
216,2010,RUS,Russia,2010,70.5,30.185125,2.33558747893209,-36.12796319858131,39.979127578338954
217,2010,SWE,Sweden,2010,43.7,7.227824999999999,6.046078868816,65.34399824316061,26.203146229077245
218,2010,USA,United States,2010,3.6566666665,1.0,3.6566666665,0.0,0.0
219,2010,ZAF,South Africa,2010,18.2,7.4205000000000005,2.452664914763156,-32.92621016750377,13.322618515428802
220,2011,AUS,Australia,2011,4.56,0.922381589,4.943724001412174,21.6168266030055,-0.3669892897974123
221,2011,BRA,Brazil,2011,9.5,1.5416,6.162428645563051,51.597260653457575,3.048010369348812
222,2011,CAN,Canada,2011,4.73,0.94585,5.000792937569383,23.020736471571524,-0.2585629118393796
223,2011,CHE,Switzerland,2011,6.5,0.80615,8.063015567822365,98.35216649009506,-1.4676202514763992
224,2011,CHL,Chile,2011,1850.0,462.75,3.997839005942734,-1.652176975578512,94.66677748687474
225,2011,CHN,China,2011,14.65,6.445,2.2730799069045773,-44.08167510689848,10.795394760658894
226,2011,CZE,Czech Republic,2011,69.32,17.0219,4.07240084831893,0.1820626892725663,38.53508100146531
227,2011,DNK,Denmark,2011,28.5,5.19845,5.482403408708365,34.86847253895115,17.912526530188046
228,2011,GBR,Britain,2011,2.39,0.614137444,3.8916369997462654,-4.2647724539664145,-1.4665856038150846
229,2011,HUN,Hungary,2011,760.0,188.0724,4.040996977759629,-0.5904802519156593,87.90220965374888
230,2011,IDN,Indonesia,2011,22534.0,8523.0,2.643904728382025,-34.95929327473494,99.54650567849968
231,2011,JPN,Japan,2011,320.0,78.365,4.083455624322083,0.45401289845221626,75.21822485135188
232,2011,KOR,South Korea,2011,3700.0,1056.2,3.503124408256012,-13.822277779679915,97.27623356820378
233,2011,MEX,Mexico,2011,32.0,11.67075,2.7418974787395842,-32.548647509481334,22.165229182773043
234,2011,NZL,New Zealand,2011,5.1,1.156069364,4.41150000061761,8.52398525504574,0.6550903895170215
235,2011,POL,Poland,2011,8.63,2.7968,3.0856693363844396,-24.091775242695224,5.103866946161798
236,2011,RUS,Russia,2011,75.0,27.7525,2.7024592379064947,-33.518837935879596,41.312880435482
237,2011,SWE,Sweden,2011,48.4,6.3352,7.639853516858189,87.9422759374708,27.46640598594462
238,2011,USA,United States,2011,4.065,1.0,4.065,0.0,0.0
239,2011,ZAF,South Africa,2011,19.45,6.76885,2.8734570865065705,-29.31224879442632,13.877390467554147
240,2012,AUS,Australia,2012,4.68,0.9733317545,4.808226977454479,12.806684030782932,-0.12249424670852013
241,2012,BRA,Brazil,2012,10.165,1.923575,5.284431332284938,23.97900065421359,4.430235254132493
242,2012,CAN,Canada,2012,4.925000000000001,1.0202,4.827484806900609,13.258495455583507,0.09293799675901077
243,2012,CHE,Switzerland,2012,6.5,0.97285,6.681400010279077,56.75353584115557,-0.1703286481493682
244,2012,CHL,Chile,2012,2050.0,499.55,4.1036933239915925,-3.722507625081106,95.15796775237249
245,2012,CHN,China,2012,15.525,6.352,2.444112090680101,-42.65824353925757,11.322993213001427
246,2012,CZE,Czech Republic,2012,70.275,20.706674999999997,3.393833148006622,-20.3766657906272,39.278324388191685
247,2012,DNK,Denmark,2012,30.0,5.998475,5.001271156418923,17.33572847950253,19.22979141813929
248,2012,GBR,Britain,2012,2.59,0.64875993,3.99223176437546,-6.337527464234349,-1.3668308454775906
249,2012,HUN,Hungary,2012,737.5,241.954675,3.048091548551397,-28.48817207951938,87.69575026285953
250,2012,IDN,Indonesia,2012,23367.0,9321.25,2.5068526216977336,-41.186276576879145,99.56318723048666
251,2012,JPN,Japan,2012,320.0,77.57,4.125306175067681,-3.215444611255691,75.2082604345077
252,2012,KOR,South Korea,2012,3700.0,1154.875,3.2038099361402748,-24.834834783071457,97.28411026483842
253,2012,MEX,Mexico,2012,37.0,13.6857,2.7035518826220066,-36.5714795882561,25.0339037353124
254,2012,NZL,New Zealand,2012,5.1,1.2667810679999998,4.025952178186484,-5.546406728045373,1.0219294213258945
255,2012,POL,Poland,2012,9.1,3.4904,2.607151042860417,-38.83315715095822,5.951282270522074
256,2012,RUS,Russia,2012,78.0,32.267275,2.417309797620035,-43.28705699143115,42.46218550695504
257,2012,SWE,Sweden,2012,40.486509935,6.95575,5.82058152391906,36.557717412866594,24.675627878520224
258,2012,USA,United States,2012,4.262359999999999,1.0,4.262359999999999,0.0,0.0
259,2012,ZAF,South Africa,2012,19.95,8.29935,2.403802707440944,-43.603949280658036,14.627926046318512
260,2013,AUS,Australia,2013,4.8675,1.024476739,4.751205971500344,6.480786558819918,0.11089615800858785
261,2013,BRA,Brazil,2013,11.625,2.1319999999999997,5.452626641651033,22.20054804974827,5.529561799192804
262,2013,CAN,Canada,2013,5.470000000000001,1.027075,5.325803860477571,19.358282407313276,0.1367176823005879
263,2013,CHE,Switzerland,2013,6.5,0.9398500000000001,6.915997233601106,54.99661132138209,-0.39060773108085106
264,2013,CHL,Chile,2013,2025.0,489.9525,4.133053714390681,-7.372820071784991,95.09962100167574
265,2013,CHN,China,2013,16.0,6.17725,2.5901493382977865,-41.951340248955304,11.560216087674323
266,2013,CZE,Czech Republic,2013,70.39,19.538875,3.602561559966989,-19.26184829012596,39.19680640884618
267,2013,DNK,Denmark,2013,28.5,5.649275,5.044895141411951,13.06274785529462,18.25299988995179
268,2013,GBR,Britain,2013,2.69,0.651177231,4.130979819225282,-7.419298795245277,-1.4032328554146287
269,2013,HUN,Hungary,2013,845.0,222.96567499999998,3.7898210116871134,-15.065117222405977,89.01695015749344
